rank,label,url,reel_id,duration_s,hook_first_3s,outro_last_3s,full_transcript,cut_count,cuts_per_second,opening_shot,opening_text,opening_setting,opening_appearance,mid_shot,mid_text,closing_shot,closing_text,broll_frames_count,energy_opening,energy_closing
11,Random,https://www.instagram.com/reel/DWUKyI1DWxI/,DWUKyI1DWxI,102.2,"Excuse me sir, sir real quick guys, we said no, thank you real quick. We grow a channel to 18 million followers","Can I get your contact? Yeah, absolutely. Yeah","Excuse me sir, sir real quick guys, we said no, thank you real quick. We grow a channel to 18 million followers Get the fuck out of here. How you doing man? Super familiar. I had to be the billionaires. Yeah, that's right How did you get rich? Investing in what type of businesses? You have 30 seconds? Yeah, okay, I came to this country when I was five years old first-generation immigrant We came to this country with nothing in one generation my parents chased and lived the American dream I joined the Marines that was my responsibility after the Marines I have 120 companies right now that across your companies What was the most amount of money you made this year across the board billions? You can't fail when you know this is God's plan. You believe in God, of course. Who is your God? God you believe in Jesus you a Christian? I am you are yeah, how important has that faith been for you throughout your career? I'll tell you this every day I grow deeper in my faith and that doesn't mean I don't wrestle with God in fact the service I went to a couple weeks ago They talked about by definition if you're wrestling with God you are closer to God if you are accepting everything that you hear You're not questioning in some way. You're not wrestling with God. You read a lot of books Yeah, I went through the deep deep spiritual journey man What was the number one book that changed your life? I come back to the alchemist Alchemist entrepreneurship is modern-day alchemy you are taking an idea something that doesn't exist and you're making it real everything Everything you're doing right now. This was an idea and it's real now modern-day alchemy the alchemist How do you know 41 if mean you died tomorrow and you had one more message to leave with the younger generation What would that be? I'm gonna tell you right now the number one regret of the dying is I wish I'd had the courage to live a life true to myself not the life others expected of me How about we don't wait to be on our deathbed to actually have the courage to live a life? We care about I hope I'm here a lot longer, but if not, I feel grateful for every day. I wake up brother You have a basic advice. I mean that was excellent man, and I connect with all the millionaires and billionaires at any of you Can I get your contact? Yeah, absolutely. Yeah",71,0.69,medium close-up,"18 million
followers...","urban alley, brick building","young male with short dark hair, clean-shaven, wearing a black quilted/puffer jacket over light-colored undershirt",medium close-up,that changed your life?,medium close-up,That was excellent man.,0,medium,high
12,Random,https://www.instagram.com/reel/DWMY0tQjTiX/,DWMY0tQjTiX,123.6,"You're gonna get a picture with you or something real quick, man. Hey, you interview billionaires, right?",Everything I have to Jesus Christ.,"You're gonna get a picture with you or something real quick, man. Hey, you interview billionaires, right? Yeah. You're missing the richest guy here. Who? My dad. He's here right now? What is he right now? He sold the company for a lot of money. How much? Almost 500 million. You want to get him real quick? I can grab him right now. Sir, how did you get rich? What's that? How did you get rich? What'd you do? I've built some healthcare businesses. How much did you make? What was the most amount you made this year? One of the years we sold a business for 460 million that week. So she wasn't lying? No, it doesn't lie. Can I interview you for a minute real quick? Yes. Before you leave this earth, what is one lesson that you were gonna instill in your son? My boy, understand your God-given purpose and go after it with all your heart. If he really wants to succeed in business, I like to say when you're 20, you're worried about what people are gonna think. At 40, you stop worrying what people think. At 60, you realize they weren't even thinking about you in the first place. You can't worry about what people think about you. No. It took me hanging around billionaires to really understand this. But you have to surround yourself with rich people. Absolutely. I'm the poorest of my friends. You don't want to have yes men. You can't get comfortable with what you're saying. I can't get comfortable. I listened to a book a week. It was the number one book that changed your life. Obviously the Bible. Second to the Bible, purpose-driven life. In the first words of the book, it starts with, it's not about you. Are you married? I am married. How long have you been married? 23 years. How long have you been faithful? 23 years. I love the question. I don't know if I would have answered if I wasn't faithful. How do you feel about AI? Oh man, very excited. I challenge my team every day. If you're not using AI, you aren't the right person. Have you heard about plot AI? Yes. Is this right here? Okay. This records all of my conversations, all my meetings. And it tells you everything that you need to know. Phenomenal. That's a great use case of AI. That's something I could put on all of our doctors. Everybody. Every entrepreneur having a business, they need to have one. Absolutely. How old are you now? I am 50. If me and you died tomorrow and you have one more message to leave with the younger generation, what would that be? Let's make sure you're prepared for the afterlife. So a relationship with Jesus Christ, nothing else matters in comparison. How did you know God was real? I grew up in South Africa, spent some time living in a car. To think that I did this by myself would be a huge mistake. Everything I have to Jesus Christ.",81,0.66,medium close-up,My dad.,"Urban street, storefront entrance","Young man wearing light gray t-shirt and black baseball cap with logo, casual street wear",medium close-up,How long have you been married?,medium close-up,spent some time living in a car.,0,high,high
13,Random,https://www.instagram.com/reel/DWEtSMWjVdX/,DWEtSMWjVdX,123.4,Excuse me guys question for you sir. Who's the richest person here?,,"Excuse me guys question for you sir. Who's the richest person here? Have you heard of Pepsi Pepsi the soda company? Yes, we just sold our company to them for almost two billion dollars to Billy with a V Yes with the V so you guys work together you guys are business partners. You could say that she's also my wife You guys are you guys are married? Yeah still married after the business actually Yeah, I go all over the world and you've been billionaires to help the younger generation I can admit it with you for the channel real quick. Do you guys have any kids? We do kids Yeah, so your balance in multi-billion dollar company a marriage and also having children Go in the world. Did you balance all of that? There's no such thing as balance. There's spreadsheets in the bedsheets We maxed out our credit cards. We did everything we could to survive Did you guys scale super quickly or was it a long day? No, so poppies the fastest growing beverage in the history of beverage from zero to 500 million only took us five years Are you serious? Yes. What's the five years? We launched during COVID. We were one of the first brands to get on tiktok I have over three billion views on my face on tiktok. Brands were getting killed during COVID Yeah, but you know what you can have a fantastic product, but if your brand is shit, you're not gonna be successful Do you guys think people should do business with their significant other or is it not for the week? It's definitely not for the week I wouldn't advise against it because I mean look at us We built and sold the business for near the two billion dollars and built a family and the biggest thing is marriage is not 50 50 A business partnership is not 50 50 each person has to be committed a hundred percent because at any given time Someone's gonna be falling short of a hundred percent trust and commitment are absolutely critical. How do you all today? I'm 38 Older a little bit older a little bit older a little bit wiser So let me ask y'all this if the three of us died tomorrow and you could be one more message with the younger generation leave one more message With your children right here. What would that be? I think it was Steve Jobs that said this this world was created by people no smarter than you and I and so if you Have a dream just put in the work and go get it I think embarrassment is the most under explored emotion when it comes to success a lot of people ask Why are you so confident Allison? I embarrassed myself repeatedly until I gained confidence. So go make a fool of yourself. You guys have amazing advice Thank you. I connect with all the billionaires that I interviewed I get you guys's contact",95,0.77,medium close-up,The soda company??,"urban street, building exterior","woman wearing denim jacket with chain necklace, dark hair styled back, pink lipstick, composed expression",medium close-up,Marriage is not 50/50,medium close-up,So go make a fool of yourself.,0,medium,high
14,Random,https://www.instagram.com/reel/DWZUsZnDX8x/,DWZUsZnDX8x,111.5,"Excuse me sir, sir, question for you.",comment billionaire below and I'll send it to you.,"Excuse me sir, sir, question for you. Huh? I have a question for you. Sure. How did you become wealthy? How did I become wealthy? Yes sir. Banking. And baking. Investment banking. Where are you from? originally from Nigeria by graphic. In London. Yeah, I went to school in England. So what was the most amount of money that you made in a single year? I think 30 million. 30 million dollars? Yes. That's why I can dress like this on a weekday. So what is a lesson about money that banks don't want people to know? Every pound you deposit in the bank, the bank lends it nine times. Wow. That's a bank multiplier. Hey, hey, they don't teach you that in school. They don't teach you that in school. And I did an MBA. No one told me that the power of wealth is about leverage. Did you ever leverage money? Of course. Yeah, that's the only way to make money. All this property is here. It's someone's leverage. Everything you see around here. This restaurant. Someone's bought 100,000 years, borrowed 900 grand. It's leverage. So what's this? Even this car. It's leverage. Did you come from a rich family? Ah, relatively. Not rich, but my father's a doctor. But you chose not to be a spoiled rich kid. Yeah, he worked hard for it. Why didn't you want to be a doctor like your dad? Ah, two of my brothers ended up in medicine. So you're kind of the black sheep of the family? Totally. We all have different parts in life. What's more important in the business world today? What you know or who you know? I think what you know now. What you know. Yeah, voting the party was who you know. Because if you think about it, one of the governors of the Bank of England was complaining that his daughter doesn't have a job. That wouldn't happen 20 years ago. Because nepotism, that person would have got a job. But now, a lot of people can make connections. But if you've got nothing of substance behind you, those connections are worthless. How old are you? I'm old, you know. I'm around 58. 58 years old? Yeah. If me and you died tomorrow and you had one more message to leave with the younger generation, what would that be? The US has only been around for 300 years. And look at what they've achieved. When the queen died, the queen had been alive for a third of the existence of the US. So, get out there. The world is big. Compounding helps you. Whatever you do now, whatever investment you make now, your children are never ever going to say you made a bad investment. Can I tell you something, sir? Sure. You have incredible advice. Well, we try. And every week I host live calls with the millionaires and billionaires I interview. Would you do a live call, mentors and people? Sure, you give me your card or...? I'll give you my contact. Okay, yeah. Guys, if you want access to the live call, comment billionaire below and I'll send it to you.",78,0.7,medium,How did you become wealthy?,"Urban street, historic architecture","Young man wearing a black hoodie, holding a beverage cup, with short dark hair and casual demeanor",medium close-up,20 years ago...,medium close-up,Sure you give me your card or?,0,medium,medium
15,Random,https://www.instagram.com/reel/DWoz2ldAgy5/,DWoz2ldAgy5,125.8,"Excuse me sir, sir, sir, sir, is this your Rolls-Royce?",Are you going to help me make some money? Let's make money together. Let's do it.,"Excuse me sir, sir, sir, sir, is this your Rolls-Royce? No, this is her Rolls-Royce. Ma'am, is this your Rolls-Royce? That is my Rolls-Royce. And how did you get rich? As a business owner, entrepreneur. How long have you been an entrepreneur? I was 13. Did you come from a rich family? Did you come from a lot of money? No, I did not. I come from a mother that sold drugs, satiate food stamps, I come from nothing. But a rich family came from you? A rich family came from me, absolutely. How old were you when you became a millionaire? At the age of 29. You're not any of you from a minute? I go all over the world. Come on, let's do it. Now, I'm convinced that most millionaires believe in God. Do you believe in God? I believe in God, guilty out for the Omega, and he had a son named Jesus. I love that you're not afraid to say Jesus either. No, I'm not afraid. I wasn't always like that though. Why not? I grew up with no God and no church. My mom went to church with me twice, once at my friend's funeral and once at her funeral. So I didn't grow up in Christianity. I figured it out. I'm gonna challenge you. What's the best piece of advice that you receive throughout your career? Dang. I never forget I was fat, broken, depressed. I just had my son. There's a gentleman that's here from Miami. His name is E-Class. I remember, I said, I want to ask you one thing. I waited here all this time for you to tell me if there's one thing you would have told your younger stuff. What would that be? He said proper planning prevents a piss-poor performance. At the time, I needed that because I wasn't planning for nothing but poverty. I wasn't planning for nothing but for the bill to come and I was gonna be worried about it. Like, I was scared in times of peace, but fell for war, always being in preparation mode because you never know what the next play gonna be. This is gay right here. You know that, right? You know they don't teach this in school. They don't teach this in school. I will beat IQ any day of the week. I dropped out of school the first week of the 10th grade. I know a lot of smart, broke people and I just choose not to be wonderful. Do you think you need a lot of money to start a business in today's world? No. I started my first business with $300. Just $300? Just $300. There's a company that I use. It's called Busy and I use it to start all of my companies. What is it called? It's called Busy. Busy. It forms the LLC for them. It lets people start their business overnight. They don't have to do all the paperwork. You don't have to go out there and hire a lawyer. Damn. Believe in the power of you. Go get your will power from the proximity of people. People will take you places that money can't. People will take you places and God will take you places that people don't want you to go to. You have amazing advice. Thank you so much. I connect with all the millionaires and billionaires I interview. Could I get your contact? Yeah, you want my number? Are you going to help me make some money? Let's make money together. Let's do it.",88,0.7,medium close-up,That is my Rolls Royce...,"Urban street, storefront area","Black sleeveless Nike tank top, navy Armani baseball cap, dark sunglasses, long black hair, silver chain necklace, multiple rings",medium close-up,Always be in preparation mode,medium close-up,Thank you so much.,0,medium,high
16,Billionaire,https://www.instagram.com/reel/DVjWuz7jkef/,DVjWuz7jkef,122.3,I cannot be filming here. What's that? You cannot be filming here.,"that you could I get your contact? Oh yeah, for sure.","I cannot be filming here. What's that? You cannot be filming here. It's too many private people. Sir, talk with her. Do not tell him I told you this. The guy that just pulled up in the front Ferrari, he's a billionaire. But you cannot be filming him here. You should go talk to him. Excuse me, sir. Sir, is this your Ferrari? Yeah. How did you get rich, man? Well, what did you do to get a Ferrari? I know you, dude. How did you get rich, man? Private equity. What was the most amount of money you made a single year? On paper, a billion six maybe. 1.6 billion? Yeah. Can I interview you for a minute? Sure. For sure. Have you ever been broke before? Oh my god, dude. I literally, when I was married to my wife with four kids, was 13 million in debt, had no money, and paid it all back. No, you did not. Yeah, swear to God. When you were negative 13 million dollars in debt, what were you telling yourself? You were negative 13... I was depressed, but I never quit. That's one thing I'll tell you is, I never fucking give up. Never. Let's talk to somebody at rock bottom. What would you message people? There's only three ways to make money. Leveraging people, time, and money. That's the way you get rich. If you work for somebody else, you're selling your time. So you can't get rich working for anybody else? I cannot. I'm not, I'm unemployable. No one will fucking hire me. Why? Because I'm a fucking lunatic. And you couldn't pay me what I'd want to get paid. I haven't worked for somebody else for as long as I can remember. I own about 16 businesses now. So you own 16 companies now? Yeah. With each of these companies, do you have an LLC or an escort? Oh, you gotta have proper structure. So you have to structure your company in order to be successful? You ask good questions. Those are the things that I didn't do right before 2009 before I failed. So there's a company that I use for all the companies that I start to structure my companies. It's called busy. And it takes care of all the paperwork, all the filing for you. It doesn't matter where you are in the United States. Busy. That next LLC or C-Copy start you're going to use busy for. Sure. Introduce me to them. You've made a ton of money throughout your crew, but are you happy today? Oh, I'm the happiest I've ever been on my whole life. How old are you? How old are you? 56. And you're really happy? Yeah, I've been married to the same woman for 22 years at four kids. How long have you been faithful? Well, you know, that's funny you say that. When I married her, I told her this is a really interesting story. I said, I can't be faithful. And she's like, what the hell I go? I can't be. But if you're with me on the journey, we can do everything together. But ultimately, over time, I just dug her so much that I became massively only thinking about her. And so I'm completely faithful. You've got amazing advice there. Appreciate it. I connect with all the millionaires and billionaires that you could I get your contact? Oh yeah, for sure.",83,0.68,medium close-up,Do not tell him I told you this...,"Outdoor street, building facade","Black blazer over olive/yellow shirt, dark sunglasses, holding phone to ear, well-groomed appearance",medium close-up,"your company
in order",medium close-up,And so...,0,medium,medium
17,Random,https://www.instagram.com/reel/DVeMkDYjjmu/,DVeMkDYjjmu,95.7,"Excuse me, sir. Sir, how did you get rich?","Oh, no, no, no. Thank you, sir. Appreciate you, man. Have a great day.","Excuse me, sir. Sir, how did you get rich? Do you know me? Sir, how did you get rich? Do you know these people? You look like money, man. I see the slick back white hair. How the fuck did you pick him out out of the three of us? Do I look fucking broke? Who's the richest one here? He is. He is. All right. You got it, Rick. Real quick, sir. So I have a channel with 21 million followers. I've interviewed 44 billionaires in the last four years. Well, I had a business where you went. Oh, I'll show you guys. So you were in the money business. Oh, it's bond trader. So what did you learn about investing? The most important thing is, in my opinion, it was always to be confident. Because every day, even when I had bad days, a bad week, I was always confident. I couldn't wait to get to work. That's the most important thing in the world. Did you come from a lot of money? No. Zero. So what was your turning point to financial freedom? I thought, and I made my first million, I thought I achieved something really wonderful. How old were you? 28. What would you say was the most amount of money you made in a single year? For myself? Yes, sir. 15? 15 what? A million. $15 million. That's way back then. But how did you scale your income from one to 15 million? Tell me that real quick. So last two, I promise you this is it. This is to help the younger generation. Every kid should be involved. They should be invested into the stock market. Well, how do you know what stocks to buy? You don't. You buy the S&P 500, and that's all you need to know. That's all you did right there? It's one ETF or one fund, and that's it. Did you blow a lot of money when you were coming up? Yeah. You did? No regrets. Last message to the younger generation right here. One more piece of advice you got. One more thing. Invest early. Invest confidently. Don't speculate. Just buy the S&P 500. For the last 100 years, it's returned 10% a year on average. 10% a year. Triples in 12. Quadruples in 15. The compound interest is real. Yep. Thank you, my friend. You're wonderful. Have a good day. You can't take no for an answer. You know that, right? Oh, no, no, no. Thank you, sir. Appreciate you, man. Have a great day.",93,0.97,medium close-up,How did you get rich?,upscale residential street,"young man wearing black t-shirt and white shorts with neon green wristband, dark styled hair, holding smartphone",medium close-up,younger generation....,medium close-up,And you're persistent,0,medium,medium
18,Random,https://www.instagram.com/reel/DVZCNPRjtTX/,DVZCNPRjtTX,113.3,"Excuse me sir, sir, is this your private jet?","Guys, comment billionaire below if you want access to the live call.","Excuse me sir, sir, is this your private jet? No, it's his. This is your jet? Yeah. How did you buy a jet, man? I have one of the largest construction companies in the south. Have you owned the jet or are you ready to get it? I owned the jet. How much was it? How much did you pay for it? About 20 million. 20 million dollars. Could I even use for one minute? I'm actually about to leave. Could we do it on the jet? Just for a minute. It'll be worth it. What was the most amount of money that you made in a single year? 200 million. That's personal. That was personal. The company does about a billion five. Congratulations, man. As a billion-dollar entrepreneur, what is the best financial advice that you would give to the younger generation? If you look at investment advice, a lot of people will say, hey, we're going to have a diversified portfolio. If you look at the wealthiest people in the world, they had a very consolidated portfolio. They went all in on just one or two things and they worked really well. Now, why did you go all in on construction? Because it's not necessarily a sexy business, right? Right. You know what's interesting? I didn't. I went all in on people. And I would say this. I feel like every company in the world is in the people business and the service business. It's just whether they know it or not. What was the lowest point in your career? Man, 2012, unexpectedly, my wife filed for divorce. I had a four-year-old and two-year-old hardest time by far in my entire life. What did you learn about marrying the right woman? I think that's a fantastic question. Matter of fact, one of the most important decisions you'll ever make on this planet is who you marry. Because that person will dictate what your life looks like going forward. How old are you now? 45. If me and you got tomorrow and you had one more message to leave with the younger generation, what would that be? Don't ever put a limit on God's dreams for your life. How did you know God was real? I knew God was real when he showed up when I was in a garage apartment while I was going through a divorce. And I realized in that moment that at the time I didn't even need the wife that I loved. I didn't even need the kids that I loved and couldn't see as much because all I needed was help me showed up. And that was from a rock bottom. And I know to this day, no matter what I go through, he's always going to be there. That's when God became my God. You got amazing advice. I appreciate that. And every week I host live calls with the billionaires at Enemy, where they mentor my audience. Would you do a live call, mentor some people? Love to. Guys, comment billionaire below if you want access to the live call.",56,0.49,medium,How did you buy a jet?,"Parking lot, outdoors, daytime","Young male wearing black zip-up jacket and dark pants, short dark hair styled upward",medium close-up,One of the most important decisions,medium close-up,where they mentor my audience...,1,medium,high
19,Random,https://www.instagram.com/reel/DVRTpN0CcKm/,DVRTpN0CcKm,113.3,"Excuse me sir, sir, are you a millionaire? Not anymore.",Thank you. I connect with all the billionaires at IndieView. Could I get your contact? Sure.,"Excuse me sir, sir, are you a millionaire? Not anymore. Did you go broke? No, I became a billionaire. You're a billionaire? How did you become a billionaire? Yeah, but who are you? I'm a billionaire all over the world. I've been even 44 billionaires as of right now. Can I interview you for a minute? Yeah, sure. Did you come from a lot of money? Were your parents rich? Definitely not. Definitely not rich. I always knew I was going to be successful. Do you have to be a little crazy to become this successful? Do I have to be crazy? Are you crazy? Tell me, tell me, are you crazy? No, I'm very level. But I did work 22 hours a day because I started that business and it was worth zero. And I sold it 20 years later for 1.5 billion. What business made you a billionaire? It was mobile phones. Mobile phones like Apple. No, not like Apple, no. I was a retailer and wholesaler all over the world. Are you a good salesman? No, I don't think you're going to get to where I am without being a good salesman. So what was your secret to sales? It's not a very comfortable word to use but you've got to be very manipulative because you've got to make the buyer realize you won't be beaten up. Were you ever afraid of competition? No, I was afraid of my suppliers because when you became too big the suppliers wanted to cut you off and they wanted to axe you and grow competitors to you because they had a favorite expression which is they don't want the tail wagging the dog and I became the dog. You know they don't teach this in school, right? They don't teach anything in school about entrepreneurship. Correct me if I'm wrong. Taxes are crazy in the UK. Do you have a tax hack for anybody in business? I believe that you should pay your taxes in the country that you've made your money in. So you paid your taxes. I paid all my taxes on the sale of the business. What's the most amount of money you paid in taxes in one year? 200 million. You paid 200 million in taxes? Yeah, and I could have avoided it. How? By moving to Monaco. Why did you not do that? Because I feel that the poor people need help. Why? A childhood dream I had when I was eight years old was that I would be driving around in a chauffeur-driven Rolls-Royce handing five pound notes out to poor people and that dream had to be fulfilled. Like I told my kids, I'm not bothered about you being rich. I want you to leave the world a better place than you found it and be happy. Thank you so much for your time, man. Thank you. I connect with all the billionaires at IndieView. Could I get your contact? Sure.",69,0.61,medium,Billionaire,Upscale shopping mall or street,"Older man, bald with wire-frame glasses, wearing a dark navy patterned blazer over a dark shirt.",medium close-up,You know they don't teach this,medium close-up,a better place than you found it.,0,high,medium
20,Random,https://www.instagram.com/reel/DU_T-DijmUx/,DU_T-DijmUx,113.6,There's a billionaire in there. There's a billionaire in there.,"Guys, comment billionaire below and you'll get access to the live call.","There's a billionaire in there. There's a billionaire in there. First floor. What's he look like? You all die. You gotta talk to him. Can I ask you if we can? Stay right there. Gosh. Excuse me, sir. Sir, how did you get rich? How did you get rich? I'm rich. Come on. I founded 17 companies and I was privileged enough to sell nine of those. You sold nine companies? I sold nine companies. Yeah. If you had to start over today and get into any industry, any business that you possibly could, what would that be? Oh, probably the car wash industry. Are you talking about car wash? Yeah, car wash. Man, I'm building like hundreds of car washes right now. Are you serious? I love them. Yeah, man. It's the best business. I love it. My car washes. You don't see any of these billionaires. Oh, man. You know how many billionaires have car washes? All the smart ones. Do you get your car wash? I do. Yeah. It's like an ATM machine, a legal ATM machine. This was session proof. It's depression proof. I haven't heard that one before. Yeah, it's true, man. I learned that from Mr. Buffett. What was the most amount of money that you made in a single year? Many billions in business. And what's the secret to that scale? Hire the smartest and best people and help them get rich. I'll tell you this. Billionaires make millionaires. Millionaires make billionaires. But I've never seen a billionaire make another billionaire. You know they don't teach this in school, right? No, man. They don't teach it in school. It's like the game behind the game. What's your name? My name's Vic Keller. Give me a lesson about business right here that is not taught in any business school in the world. One of my early business partners told me, don't ever get rich and good-looking. What does that mean? Rich is loud and wealth is quiet. I know so many multi-billionaires that'll never get in front of this camera. I'm breaking the rules today, but rich is loud. Wealth is quiet. How do you know? 51. If you mean you die tomorrow and you have one more message to leave with the younger generation, what would that be? Listen, you can lose your health. You can lose your money. You can lose your friends. But if you have a relationship with Jesus Christ, you got it forever. So do you believe in God? Ah, man, I love Jesus. I'm not afraid to say it either. No, man, I'll tell the world from the highest mountain. Why is that? That's the only reason I am where I am today. You've got amazing advice, my friend. And every week I host live calls with the billionaires I interview. Were they meant to my audience? Would you do a live call and mentor some people? 100%. It would be my honor. Guys, comment billionaire below and you'll get access to the live call.",68,0.6,medium,Can you ask him??,"Urban street, storefront entrance","Young man wearing dark blue/navy zip-up hoodie or sweatshirt, short dark hair, appears casual",medium close-up,about business right here...,medium close-up,Would you do a live call and,0,medium,high
21,Wolf of Wall Street,https://www.instagram.com/reel/DU1Fkj6CU_3/,DU1Fkj6CU_3,121.0,"Excuse me, sir. Sir, how did you get rich?","that interview, could I get your contact? Yeah, sure.","Excuse me, sir. Sir, how did you get rich? How did I get rich? Yeah. You ever see the movie The Wolf of Wall Street? Yes. It's about me. I'm Jordan Belfort. You're Jordan Belfort? That's me, baby. So how'd you get rich? Had I ever? You fucking stock market. Could I even permit it real quick? Sure. What was the most amount of money you made in a single day? In cash, 23 million. In like four minutes. What happened that day? Stop was trading, I did an IPO. I'm gonna challenge you. What's the best advice that Jordan Belfort received in his life? When I first got sober, I had this phenomenal sponsor. Very wealthy guy. The first thing he said to me was, yesterday is history, tomorrow is a mystery, and today is a gift. That's why they call it the present. Do you have any regrets? Listen, you can't be defined by the things that you do wrong. You're not the mistakes of your past, okay? You're the resources and the capabilities that you glean from your past. It was just saying that money is the root of all evil. Do you think that money changes people or does it just amplify the way they already are? Anyone who said the money is the root of all evil never had any money, that's why they say it. I always say money is like alcohol. It amplifies you, it doesn't change you. You're very renowned for your sales prowess, but you are an excellent recruiter. What did you learn about recruiting that you give to an entrepreneur? One of the mistakes people make, they say, well, I'm an entrepreneur, I'm not a salesperson, but every entrepreneur needs to be a salesperson. Bottom line, it's not just selling a product, you're selling a compelling vision, and from there, you're gonna attract great people. How do you know? 63, my last question for you. Sell me this pen. I never heard that before. So sell me this pen, what it really is, it's a test for salespeople. Typically salespeople will do that, don't know how to sell, as they'll just start selling you a fucking pen. Oh my God, look at this pen, it's black pen. This is the best pen out there, never runs out of ink. I mean, this is an unbelievable pen. Fuck the fuck, right, it's a pen. The question though is, how can I sell you a pen if I first don't know what you want? So the first thing I would do, I would reverse it, so tell me, how long you've been in the market for a pen? Are you even looking for a fucking pen? I don't waste my time trying to sell things to people that don't need them or want them. That's the biggest mistake that young salespeople make. I connect with all the millionaires and billionaires that interview, could I get your contact? Yeah, sure.",64,0.53,medium,Yes...,"waterfront, tropical location",Young man wearing light blue/gray short-sleeve t-shirt with casual styling and a watch.,medium close-up,every entrepreneur needs to,medium close-up,That's the biggest mistake,0,medium,medium
22,Random,https://www.instagram.com/reel/DUlk2rBibIL/,DUlk2rBibIL,105.9,"Excuse me, ma'am. Excuse me, ma'am. How did you get rich?","But if you live right the first time, once is enough.","Excuse me, ma'am. Excuse me, ma'am. How did you get rich? How did you get rich? I created one of the greatest fitness products on the planet. So you're a business owner? More than a business owner. I also master the art of communication. I've sold over two and a half billion dollars worth of product. Wait, wait, wait. I'll go all over the world to be the greatest. I'm going to an event. For one minute. It'll be worth it. I've been here for 40 billion years in the last four years. That's a good pitch, by the way. Is that okay? Yes, you can. Did you come from a lot of money? Absolutely not. Flat-ass broke. I'm going to tell you something. I also raised a little boy from South Central. I had him for 12 years in my life and he was a murderer. People hit rock bottom all the time. Most of them stay there. Get comfortable, build a couch and a house down there. Don't do that. The best thing in life you can do is go down and spring you right back up. And that's exactly what you did. Oh, I've done it more than once. Life happens for you, not to you. Were you good at sales? I'm one of the best it's ever been on the planet. You know what pitching is? Yeah. Getting someone to say yes. Because if you can get one yes, you can get a credit card. That's gay right there. I realized at a very early age, if you can persuade someone else to say yes to you, you win. Your parents were broke. Yeah. If you could go back in time and give your parents one piece of advice, what would that be? I love that question. Thank you for asking that. Guys, we have to stop filming to protect the privacy of our guests. I like getting kicked out of places. Because I'll tell you why. Don't ask for permission. Ask for forgiveness. Because sometimes the rules don't work for you and is that okay? I don't know. Break them and find out. So what's your name? What's my name? My name is Dr. Forbes Riley. Forbes is in the magazine. Did you people that doubted you in business? Everybody doubted me. Nobody thought I was going to be successful. In fact, I was made fun of on television. They literally said my product would never work. I've sold a million dollars a day on home shopping. How do you know? Yeah, you're supposed to ask a woman how old she is? How do you know? Oh my goodness. All right. I'm turning 66 in April. 66. And I'm just getting started. I would have guessed 35. Oh, see, now that's a... Oh, yeah, you are a charmer. You're an innate pitcher. I got to tell you. If me and you died tomorrow and you had one more message to leave with the younger generation, what would that be? You know, I don't know if you get to live more than once. But if you live right the first time, once is enough.",85,0.8,medium close-up,I know you...,Parking lot or street with vehicles,"Woman wearing a black lace/textured blazer over dark clothing, holding a black crocodile-textured handbag, short brown feathered haircut, necklace with pendant, smiling.",medium close-up,Don't ask for permission...,medium close-up,the younger generation...,0,high,medium
